Token Count,Step Count,Non-Canonical Log-Likelihood,Canonical Log-Likelihood
100,250,-468.9306335449219,-480.0
100,250,-377.56854248046875,-377.0
100,250,-453.39923095703125,-453.0
100,250,-374.610595703125,-374.0
100,250,-397.5416259765625,-397.0
100,250,-479.68896484375,-479.0
100,250,-105.6938705444336,-105.0
100,250,-331.28289794921875,-331.0
100,250,-342.75909423828125,-357.0
100,250,-92.40228271484375,-110.0
100,250,-377.98028564453125,-377.0
100,250,-434.3981628417969,-434.0
100,250,-407.7345275878906,-407.0
100,250,-349.19189453125,-349.0
100,250,-386.19293212890625,-386.0
100,250,-237.01905822753906,-237.0
100,250,-362.3470153808594,-362.0
100,250,-160.53826904296875,-184.0
100,250,-264.83197021484375,-276.0
100,250,-344.4549560546875,-344.0
100,250,-462.40869140625,-462.0
100,250,-431.5194091796875,-431.0
100,250,-400.75665283203125,-412.0
100,250,-423.3135986328125,-423.0
100,250,-411.52734375,-411.0
100,250,-475.62420654296875,-475.0
100,250,-420.74005126953125,-420.0
100,250,-409.50299072265625,-420.0
100,250,-483.8147277832031,-501.0
100,250,-704.570068359375,-718.0
100,250,-619.12744140625,-623.0
100,250,-349.5119323730469,-349.0
100,250,-378.81787109375,-378.0
100,250,-378.2779541015625,-378.0
100,250,-389.725830078125,-389.0
100,250,-456.42303466796875,-456.0
100,250,-370.3565673828125,-370.0
100,250,-414.67095947265625,-423.0
100,250,-288.73919677734375,-312.0
100,250,-595.88623046875,-597.0
100,250,-315.3856201171875,-315.0
100,250,-335.34686279296875,-335.0
100,250,-359.6547546386719,-363.0
100,250,-428.8782653808594,-433.0
100,250,-454.578125,-467.0
100,250,-334.0067138671875,-334.0
100,250,-343.16546630859375,-343.0
100,250,-559.6868286132812,-544.0
100,250,-470.49365234375,-470.0
100,250,-274.046142578125,-274.0
100,250,-287.6357421875,-300.0
100,250,-417.1963195800781,-422.0
100,250,-234.42047119140625,-247.0
100,250,-378.19384765625,-386.0
100,250,-394.4768981933594,-405.0
100,250,-377.2813720703125,-377.0
100,250,-400.69854736328125,-400.0
100,250,-514.0803833007812,-510.0
100,250,-363.12335205078125,-369.0
100,250,-487.1141357421875,-487.0
100,250,-257.614013671875,-257.0
100,250,-317.11767578125,-317.0
100,250,-431.33447265625,-432.0
100,250,-295.08502197265625,-295.0
100,250,-307.8226318359375,-307.0
100,250,-465.9597473144531,-508.0
100,250,-344.1348876953125,-392.0
100,250,-236.1827392578125,-246.0
100,250,-370.4593505859375,-425.0
100,250,-502.9996032714844,-531.0
100,250,-390.10540771484375,-390.0
100,250,-277.76483154296875,-277.0
100,250,-377.1977233886719,-377.0
100,250,-407.5367431640625,-407.0
100,250,-413.890869140625,-413.0
100,250,-503.4415283203125,-509.0
100,250,-399.678466796875,-399.0
100,250,-507.9113464355469,-508.0
100,250,-415.83935546875,-415.0
100,250,-377.3526611328125,-377.0
100,250,-449.6020812988281,-449.0
100,250,-205.2022247314453,-205.0
100,250,-397.23443603515625,-397.0
100,250,-502.12255859375,-502.0
100,250,-292.0431823730469,-292.0
100,250,-380.2809143066406,-391.0
100,250,-471.1663818359375,-482.0
100,250,-469.94671630859375,-470.0
100,250,-448.1892395019531,-460.0
100,250,-361.108642578125,-372.0
100,250,-421.87982177734375,-421.0
100,250,-488.45751953125,-488.0
100,250,-416.77337646484375,-416.0
100,250,-378.7192077636719,-386.0
100,250,-357.17584228515625,-357.0
100,250,-308.74127197265625,-307.0
100,250,-433.2568359375,-433.0
100,250,-389.24456787109375,-389.0
100,250,-428.3522033691406,-440.0
100,250,-304.2056884765625,-300.0
250,400,-1014.819580078125,-1036.0
250,400,-1092.3006591796875,-1108.0
250,400,-1112.1405029296875,-1112.0
250,400,-1250.259765625,-1270.0
250,400,-865.6334228515625,-865.0
250,400,-648.9535522460938,-660.0
250,400,-1211.3978271484375,-1223.0
250,400,-1010.3702392578125,-1017.0
250,400,-1079.6737060546875,-1077.0
250,400,-931.9490356445312,-944.0
250,400,-928.0501708984375,-928.0
250,400,-1002.8152465820312,-1018.0
250,400,-1019.4835205078125,-1019.0
250,400,-921.844970703125,-921.0
250,400,-1125.6385498046875,-1124.0
250,400,-207.36770629882812,-200.0
250,400,-781.9022827148438,-781.0
250,400,-1024.6165771484375,-1028.0
250,400,-975.9945068359375,-975.0
250,400,-1220.95458984375,-1220.0
250,400,-870.9432373046875,-870.0
250,400,-1085.818603515625,-1108.0
250,400,-953.975830078125,-953.0
250,400,-952.769775390625,-954.0
250,400,-975.9452514648438,-975.0
250,400,-1436.795166015625,-1421.0
250,400,-1048.0537109375,-1055.0
250,400,-859.6802978515625,-859.0
250,400,-1130.1302490234375,-1144.0
250,400,-1042.544677734375,-1042.0
250,400,-888.8958740234375,-911.0
250,400,-1141.4927978515625,-1144.0
250,400,-853.032958984375,-865.0
250,400,-1030.8643798828125,-1040.0
250,400,-971.838623046875,-984.0
250,400,-955.9400634765625,-955.0
250,400,-1094.02587890625,-1094.0
250,400,-755.255615234375,-755.0
250,400,-914.9334106445312,-922.0
250,400,-846.6517333984375,-846.0
250,400,-906.6393432617188,-906.0
250,400,-1057.299560546875,-1057.0
250,400,-473.4818420410156,-866.0
250,400,-993.3433837890625,-993.0
250,400,-837.4168701171875,-837.0
250,400,-556.510498046875,-556.0
250,400,-1048.1890869140625,-1086.0
250,400,-1012.141357421875,-1012.0
250,400,-1124.042236328125,-1146.0
250,400,-1037.4534912109375,-1037.0
250,400,-985.992919921875,-985.0
250,400,-1240.96484375,-1240.0
250,400,-963.214111328125,-963.0
250,400,-528.2374267578125,-531.0
250,400,-176.9811553955078,-199.0
250,400,-1088.6434326171875,-1089.0
250,400,-757.0347290039062,-771.0
250,400,-1024.519287109375,-1037.0
250,400,-1068.5911865234375,-1067.0
250,400,-885.1886596679688,-896.0
250,400,-722.7041015625,-722.0
250,400,-955.1093139648438,-955.0
250,400,-1057.247802734375,-1057.0
250,400,-840.6705932617188,-840.0
250,400,-935.1642456054688,-935.0
250,400,-1150.3311767578125,-1150.0
250,400,-1036.3095703125,-1047.0
250,400,-1138.691162109375,-1138.0
250,400,-1039.499755859375,-1039.0
250,400,-1313.07080078125,-1313.0
250,400,-1170.728271484375,-1179.0
250,400,-980.9544677734375,-990.0
250,400,-944.609130859375,-944.0
250,400,-1059.54833984375,-1064.0
250,400,-1000.4168090820312,-997.0
250,400,-968.7966918945312,-968.0
250,400,-962.0824584960938,-962.0
250,400,-904.71533203125,-904.0
250,400,-946.46044921875,-946.0
250,400,-1150.367431640625,-1150.0
250,400,-950.28076171875,-950.0
250,400,-1052.718017578125,-1048.0
250,400,-931.399658203125,-931.0
250,400,-1000.1505126953125,-1000.0
250,400,-963.9569702148438,-963.0
250,400,-988.4359130859375,-988.0
250,400,-878.6893310546875,-878.0
250,400,-1207.44677734375,-1207.0
250,400,-1030.194580078125,-1048.0
250,400,-1047.468994140625,-1047.0
250,400,-1194.9073486328125,-1232.0
250,400,-860.210205078125,-860.0
250,400,-1035.6942138671875,-1039.0
250,400,-1072.83984375,-1069.0
250,400,-1475.9322509765625,-1505.0
250,400,-1009.7177734375,-1009.0
250,400,-995.3468017578125,-995.0
250,400,-1021.0823974609375,-1021.0
250,400,-1064.347412109375,-1064.0
250,400,-1128.0684814453125,-1140.0
400,500,-1491.3302001953125,-1491.0
400,500,-1698.7744140625,-1716.0
400,500,-1742.0416259765625,-1750.0
400,500,-1490.5694580078125,-1490.0
400,500,-1530.126708984375,-1535.0
400,500,-1380.4052734375,-1380.0
400,500,-1620.4375,-1620.0
400,500,-1549.9041748046875,-1557.0
400,500,-1570.6212158203125,-1570.0
400,500,-1810.5577392578125,-1810.0
400,500,-1643.8453369140625,-1643.0
400,500,-1670.341064453125,-1696.0
400,500,-1646.222412109375,-1646.0
400,500,-1522.1650390625,-1527.0
400,500,-1296.1915283203125,-1296.0
400,500,-1342.7093505859375,-1357.0
400,500,-1514.07080078125,-1526.0
400,500,-1460.405029296875,-1498.0
400,500,-1577.740966796875,-1593.0
400,500,-1699.8531494140625,-1712.0
400,500,-1689.8587646484375,-1689.0
400,500,-1583.85595703125,-1610.0
400,500,-1195.32470703125,-1195.0
400,500,-1961.040283203125,-1979.0
400,500,-1183.35205078125,-1237.0
400,500,-1689.225830078125,-1691.0
400,500,-1640.1409912109375,-1640.0
400,500,-1552.884521484375,-1552.0
400,500,-1712.521484375,-1707.0
400,500,-1156.4912109375,-1156.0
400,500,-1581.09912109375,-1590.0
400,500,-2302.75244140625,-2384.0
400,500,-1482.601318359375,-1482.0
400,500,-1248.10595703125,-1248.0
400,500,-1722.8135986328125,-1722.0
400,500,-1655.18115234375,-1655.0
400,500,-1365.3916015625,-1365.0
400,500,-1371.265380859375,-1371.0
400,500,-1779.0262451171875,-1833.0
400,500,-2056.26806640625,-2038.0
400,500,-1482.251220703125,-1493.0
400,500,-1564.521484375,-1584.0
400,500,-1496.7564697265625,-1496.0
400,500,-1739.2589111328125,-1751.0
400,500,-2130.3876953125,-2146.0
400,500,-1515.674072265625,-1515.0
400,500,-1732.95849609375,-1745.0
400,500,-1736.5772705078125,-1754.0
400,500,-1469.54296875,-1469.0
400,500,-1611.5946044921875,-1611.0
400,500,-1361.5142822265625,-1379.0
400,500,-1490.347412109375,-1489.0
400,500,-1359.384765625,-1359.0
400,500,-1386.623046875,-1386.0
400,500,-1272.66943359375,-1272.0
400,500,-1466.896484375,-1483.0
400,500,-1650.45849609375,-1661.0
400,500,-1618.17724609375,-1628.0
400,500,-1408.0634765625,-1419.0
400,500,-1583.4071044921875,-1587.0
400,500,-1611.396728515625,-1611.0
400,500,-1687.521728515625,-1688.0
400,500,-1317.2069091796875,-1318.0
400,500,-1672.677490234375,-1663.0
400,500,-1563.482421875,-1598.0
400,500,-1534.076171875,-1544.0
400,500,-1511.513671875,-1516.0
400,500,-1459.302001953125,-1459.0
400,500,-1342.2802734375,-1342.0
400,500,-1757.9930419921875,-1799.0
400,500,-1731.1102294921875,-1731.0
400,500,-1450.714599609375,-1486.0
400,500,-1445.365478515625,-1455.0
400,500,-1606.35791015625,-1606.0
400,500,-1671.470947265625,-1687.0
400,500,-1347.857421875,-1357.0
400,500,-792.1695556640625,-803.0
400,500,-1464.446533203125,-1475.0
400,500,-1602.9169921875,-1641.0
400,500,-1637.96337890625,-1641.0
400,500,-1435.6981201171875,-1435.0
400,500,-1414.01611328125,-1414.0
400,500,-1764.6182861328125,-1764.0
400,500,-1427.23583984375,-1427.0
400,500,-1660.17138671875,-1666.0
400,500,-1379.541259765625,-1383.0
400,500,-1494.302978515625,-1498.0
400,500,-1517.1419677734375,-1538.0
400,500,-1758.378173828125,-1773.0
400,500,-1418.01806640625,-1418.0
400,500,-1748.610107421875,-1748.0
400,500,-1634.7421875,-1639.0
400,500,-1625.473876953125,-1633.0
400,500,-1549.4451904296875,-1558.0
400,500,-1475.6693115234375,-1475.0
400,500,-1922.548828125,-1922.0
400,500,-1485.4029541015625,-1501.0
400,500,-1691.22802734375,-1691.0
400,500,-1635.40771484375,-1635.0
400,500,-1939.1260986328125,-1995.0
500,600,-1989.77490234375,-2006.0
500,600,-1903.42529296875,-1912.0
500,600,-1856.973388671875,-1856.0
500,600,-2023.843505859375,-2023.0
500,600,-1811.584228515625,-1878.0
500,600,-2168.30615234375,-2168.0
500,600,-1807.67236328125,-1807.0
500,600,-2028.360107421875,-2041.0
500,600,-1725.39501953125,-1725.0
500,600,-2011.6749267578125,-2017.0
500,600,-2282.78515625,-2282.0
500,600,-1861.979736328125,-1861.0
500,600,-2085.35107421875,-2082.0
500,600,-1987.7252197265625,-1998.0
500,600,-2086.9365234375,-2096.0
500,600,-1955.3643798828125,-1955.0
500,600,-1995.6297607421875,-1995.0
500,600,-1784.1717529296875,-1794.0
500,600,-1897.843994140625,-1905.0
500,600,-2137.927734375,-2137.0
500,600,-2087.32275390625,-2112.0
500,600,-2670.598388671875,-2714.0
500,600,-2742.9111328125,-2895.0
500,600,-1795.062255859375,-1795.0
500,600,-2015.0322265625,-2034.0
500,600,-1827.52978515625,-1826.0
500,600,-1780.7694091796875,-1789.0
500,600,-1766.057373046875,-1766.0
500,600,-2101.57275390625,-2105.0
500,600,-2306.87060546875,-2407.0
500,600,-1790.933349609375,-1793.0
500,600,-2072.076171875,-2068.0
500,600,-2030.2333984375,-2035.0
500,600,-1830.62548828125,-1842.0
500,600,-1998.1611328125,-2064.0
500,600,-1640.336181640625,-1640.0
500,600,-2290.69580078125,-2309.0
500,600,-1960.4654541015625,-1969.0
500,600,-1722.35888671875,-1727.0
500,600,-1844.59912109375,-1844.0
500,600,-2098.54736328125,-2098.0
500,600,-2079.79638671875,-2079.0
500,600,-2065.12353515625,-2062.0
500,600,-2126.18408203125,-2127.0
500,600,-1998.9229736328125,-1998.0
500,600,-1864.62939453125,-2066.0
500,600,-2075.6171875,-2079.0
500,600,-2133.8994140625,-2158.0
500,600,-1987.111328125,-1987.0
500,600,-1970.4576416015625,-1970.0
500,600,-1847.015380859375,-1841.0
500,600,-2059.60400390625,-2068.0
500,600,-1869.65673828125,-1869.0
500,600,-2196.99658203125,-2210.0
500,600,-2047.582275390625,-2093.0
500,600,-1658.2115478515625,-1658.0
500,600,-1767.17529296875,-1767.0
500,600,-2039.7711181640625,-2040.0
500,600,-2292.01171875,-2292.0
500,600,-1660.64453125,-1660.0
500,600,-1729.817626953125,-1729.0
500,600,-1847.46923828125,-1847.0
500,600,-1867.636962890625,-1872.0
500,600,-1710.41650390625,-1727.0
500,600,-2064.1044921875,-2064.0
500,600,-1857.7144775390625,-1857.0
500,600,-1903.90234375,-1957.0
500,600,-1739.14404296875,-1751.0
500,600,-2031.3232421875,-2043.0
500,600,-1905.78076171875,-1909.0
500,600,-1792.658203125,-1792.0
500,600,-1743.9716796875,-1753.0
500,600,-2049.117919921875,-2073.0
500,600,-1894.393798828125,-1889.0
500,600,-1420.86328125,-1430.0
500,600,-2103.033447265625,-2102.0
500,600,-2006.641845703125,-2023.0
500,600,-1999.5999755859375,-2000.0
500,600,-1959.90185546875,-1970.0
500,600,-1704.99951171875,-1717.0
500,600,-2205.8701171875,-2218.0
500,600,-1827.203857421875,-1826.0
500,600,-2425.04736328125,-2460.0
500,600,-1933.98779296875,-1956.0
500,600,-1804.677978515625,-1816.0
500,600,-2273.9267578125,-2286.0
500,600,-1942.776611328125,-1954.0
500,600,-1981.3984375,-1994.0
500,600,-2094.33203125,-2096.0
500,600,-2120.7421875,-2136.0
500,600,-1796.3807373046875,-1796.0
500,600,-1812.51416015625,-1813.0
500,600,-1936.095458984375,-1936.0
500,600,-1946.39306640625,-1946.0
500,600,-1976.0615234375,-1984.0
500,600,-2105.96728515625,-2114.0
500,600,-1975.687744140625,-2007.0
500,600,-1896.29052734375,-1896.0
500,600,-2050.788818359375,-2121.0
500,600,-2038.1982421875,-2038.0
750,750,-2848.87060546875,-2848.0
750,750,-3035.753662109375,-3044.0
750,750,-3072.18701171875,-3190.0
750,750,-2928.890380859375,-2929.0
750,750,-3293.410888671875,-3325.0
750,750,-2803.950439453125,-2803.0
750,750,-2709.23828125,-2709.0
750,750,-3054.47412109375,-3081.0
750,750,-3049.583984375,-3061.0
750,750,-2650.251220703125,-2650.0
750,750,-3469.67822265625,-3514.0
750,750,-2624.087890625,-2624.0
750,750,-2601.58740234375,-2601.0
750,750,-2564.702880859375,-2572.0
750,750,-2793.60986328125,-2803.0
750,750,-2737.49853515625,-2737.0
750,750,-2984.022216796875,-2984.0
750,750,-3071.144775390625,-3066.0
750,750,-2415.251953125,-2412.0
750,750,-2805.22216796875,-2806.0
750,750,-2658.242431640625,-2697.0
750,750,-3089.300537109375,-3089.0
750,750,-2397.4677734375,-2397.0
750,750,-2678.47802734375,-2678.0
750,750,-2624.890625,-2625.0
750,750,-2637.59619140625,-2637.0
750,750,-3046.43994140625,-3051.0
750,750,-2531.46484375,-2560.0
750,750,-2851.85546875,-2848.0
750,750,-3029.4775390625,-3034.0
750,750,-2756.7109375,-2756.0
750,750,-3318.40673828125,-3324.0
750,750,-2866.18310546875,-2875.0
750,750,-2920.2451171875,-2942.0
750,750,-3017.61962890625,-3046.0
750,750,-2632.727783203125,-2632.0
750,750,-2706.05615234375,-2710.0
750,750,-2598.84814453125,-2625.0
750,750,-3321.45263671875,-3332.0
750,750,-2781.73291015625,-2783.0
750,750,-2616.35693359375,-2616.0
750,750,-3057.33984375,-3076.0
750,750,-2827.9169921875,-2844.0
750,750,-2659.616943359375,-2659.0
750,750,-3301.024658203125,-3339.0
750,750,-3194.74072265625,-3220.0
750,750,-2787.7080078125,-2779.0
750,750,-2507.033935546875,-2493.0
750,750,-2726.71484375,-2744.0
750,750,-2986.4580078125,-2995.0
750,750,-2676.26904296875,-2676.0
750,750,-2875.884033203125,-2881.0
750,750,-2776.2919921875,-2772.0
750,750,-2830.609130859375,-2830.0
750,750,-3032.6865234375,-3032.0
750,750,-2977.07666015625,-2977.0
750,750,-3028.364013671875,-3043.0
750,750,-2942.672607421875,-2942.0
750,750,-2845.557861328125,-2855.0
750,750,-2845.1318359375,-2850.0
750,750,-2664.54345703125,-2668.0
750,750,-2897.100341796875,-2915.0
750,750,-3216.14990234375,-3219.0
750,750,-2751.731201171875,-2751.0
750,750,-3141.30859375,-3144.0
750,750,-2854.414306640625,-2902.0
750,750,-2964.58935546875,-2970.0
750,750,-2787.04150390625,-2799.0
750,750,-3077.286376953125,-3085.0
750,750,-3027.052734375,-3048.0
750,750,-3109.767578125,-3138.0
750,750,-2624.64111328125,-2624.0
750,750,-2898.537353515625,-2910.0
750,750,-2760.171630859375,-2796.0
750,750,-3119.684814453125,-3149.0
750,750,-3035.09716796875,-3098.0
750,750,-3100.087890625,-3090.0
750,750,-2732.656005859375,-2740.0
750,750,-3029.345703125,-3059.0
750,750,-2663.69677734375,-2693.0
750,750,-2659.68212890625,-2669.0
750,750,-2668.574951171875,-2684.0
750,750,-2935.93212890625,-2935.0
750,750,-3017.6533203125,-3023.0
750,750,-2675.855224609375,-2688.0
750,750,-2494.72021484375,-2494.0
750,750,-2591.254150390625,-2591.0
750,750,-2789.73388671875,-2808.0
750,750,-3198.240234375,-3193.0
750,750,-3094.62939453125,-3094.0
750,750,-3030.59521484375,-3063.0
750,750,-3070.0302734375,-3101.0
750,750,-2919.984375,-2938.0
750,750,-2717.65478515625,-2730.0
750,750,-3014.2548828125,-3044.0
750,750,-2951.907958984375,-2957.0
750,750,-3007.61572265625,-3068.0
750,750,-3172.728515625,-3183.0
750,750,-2627.061767578125,-2626.0
750,750,-2873.3544921875,-2873.0
900,900,-3374.12744140625,-3385.0
900,900,-3441.62646484375,-3489.0
900,900,-3707.70751953125,-3701.0
900,900,-3413.582763671875,-3429.0
900,900,-3625.388671875,-3690.0
900,900,-3696.53466796875,-3744.0
900,900,-3793.2646484375,-3839.0
900,900,-2914.08837890625,-2914.0
900,900,-3583.41259765625,-3583.0
900,900,-3341.87841796875,-3341.0
900,900,-3612.5283203125,-3614.0
900,900,-3423.11181640625,-3436.0
900,900,-3565.86376953125,-3565.0
900,900,-3593.3251953125,-3617.0
900,900,-3508.40087890625,-3508.0
900,900,-3329.17236328125,-3343.0
900,900,-3589.926025390625,-3618.0
900,900,-3508.412841796875,-3519.0
900,900,-3158.66015625,-3168.0
900,900,-3264.677001953125,-3260.0
900,900,-3796.05810546875,-3796.0
900,900,-3691.60791015625,-3700.0
900,900,-3572.4912109375,-3563.0
900,900,-3584.11865234375,-3584.0
900,900,-3387.80322265625,-3383.0
900,900,-3111.970703125,-3111.0
900,900,-3647.09814453125,-3647.0
900,900,-3304.62939453125,-3305.0
900,900,-3136.970458984375,-3136.0
900,900,-3381.2001953125,-3389.0
900,900,-3649.201416015625,-3650.0
900,900,-3621.10498046875,-3627.0
900,900,-3593.3974609375,-3593.0
900,900,-3621.582275390625,-3621.0
900,900,-3667.52001953125,-3679.0
900,900,-3174.2666015625,-3174.0
900,900,-3255.36083984375,-3255.0
900,900,-3777.7060546875,-3774.0
900,900,-3497.18359375,-3499.0
900,900,-3366.808837890625,-3379.0
900,900,-3245.578857421875,-3266.0
900,900,-3473.0029296875,-3480.0
900,900,-3571.16552734375,-3597.0
900,900,-3472.373046875,-3468.0
900,900,-3411.84130859375,-3410.0
900,900,-3604.17236328125,-3599.0
900,900,-3527.13623046875,-3569.0
900,900,-3486.9296875,-3486.0
900,900,-3468.947265625,-3564.0
900,900,-3624.202392578125,-3641.0
900,900,-3370.440185546875,-3370.0
900,900,-3156.97021484375,-3160.0
900,900,-3377.167724609375,-3411.0
900,900,-3615.423095703125,-3624.0
900,900,-3589.3408203125,-3622.0
900,900,-3259.953125,-3273.0
900,900,-3333.03173828125,-3333.0
900,900,-3645.638427734375,-3658.0
900,900,-3414.99072265625,-3414.0
900,900,-3279.826171875,-3282.0
900,900,-3252.63232421875,-3252.0
900,900,-3062.400146484375,-3062.0
900,900,-3263.96875,-3286.0
900,900,-3465.27880859375,-3465.0
900,900,-3082.9267578125,-3082.0
900,900,-3722.18798828125,-3744.0
900,900,-3579.45947265625,-3620.0
900,900,-3114.03271484375,-3138.0
900,900,-3376.771240234375,-3376.0
900,900,-3587.8798828125,-3678.0
900,900,-3270.236083984375,-3264.0
900,900,-3633.248046875,-3647.0
900,900,-2799.66259765625,-2799.0
900,900,-3905.3251953125,-3902.0
900,900,-3334.5751953125,-3366.0
900,900,-3488.64599609375,-3502.0
900,900,-3673.01806640625,-3675.0
900,900,-3579.824462890625,-3579.0
900,900,-3295.198486328125,-3301.0
900,900,-3583.801513671875,-3583.0
900,900,-3721.74169921875,-3724.0
900,900,-4569.7421875,-4718.0
900,900,-3399.243408203125,-3412.0
900,900,-3776.517578125,-3798.0
900,900,-3483.150390625,-3503.0
900,900,-3227.109375,-3252.0
900,900,-3512.242919921875,-3563.0
900,900,-3354.760498046875,-3354.0
900,900,-3259.2021484375,-3262.0
900,900,-3332.79345703125,-3345.0
900,900,-3802.81396484375,-3808.0
900,900,-3342.730224609375,-3368.0
900,900,-3326.03564453125,-3375.0
900,900,-2947.133056640625,-2947.0
900,900,-3316.85009765625,-3316.0
900,900,-3571.66259765625,-3585.0
900,900,-4033.211669921875,-4079.0
900,900,-3506.952392578125,-3506.0
900,900,-3306.92431640625,-3341.0
900,900,-4080.1728515625,-4119.0
1000,1000,-4037.2490234375,-4070.0
1000,1000,-3525.33251953125,-3562.0
1000,1000,-3291.208740234375,-3298.0
1000,1000,-3676.45166015625,-3676.0
1000,1000,-3995.27734375,-3995.0
1000,1000,-4128.9443359375,-4139.0
1000,1000,-3762.154052734375,-3771.0
1000,1000,-3906.4453125,-3918.0
1000,1000,-3613.2998046875,-3622.0
1000,1000,-3884.3369140625,-3916.0
1000,1000,-3815.0986328125,-3824.0
1000,1000,-3711.660888671875,-3721.0
1000,1000,-4166.318359375,-4166.0
1000,1000,-3696.81396484375,-3702.0
1000,1000,-4269.78466796875,-4307.0
1000,1000,-3444.19580078125,-3477.0
1000,1000,-3871.216064453125,-3908.0
1000,1000,-4095.966796875,-4115.0
1000,1000,-3326.45556640625,-3326.0
1000,1000,-4350.345703125,-4360.0
1000,1000,-3735.986328125,-3786.0
1000,1000,-3779.013916015625,-3785.0
1000,1000,-4292.0810546875,-4333.0
1000,1000,-3615.05615234375,-3610.0
1000,1000,-3722.2705078125,-3739.0
1000,1000,-4249.095703125,-4269.0
1000,1000,-4018.863037109375,-4032.0
1000,1000,-3970.07763671875,-3981.0
1000,1000,-3900.634521484375,-3912.0
1000,1000,-3953.744873046875,-3951.0
1000,1000,-3719.61328125,-3733.0
1000,1000,-4203.693359375,-4185.0
1000,1000,-3859.72705078125,-3852.0
1000,1000,-4319.3173828125,-4326.0
1000,1000,-3796.41455078125,-3790.0
1000,1000,-3959.455078125,-3959.0
1000,1000,-4118.544921875,-4140.0
1000,1000,-4294.3310546875,-4347.0
1000,1000,-4017.077392578125,-4017.0
1000,1000,-3921.19482421875,-3922.0
1000,1000,-4042.52392578125,-4066.0
1000,1000,-3678.8076171875,-3694.0
1000,1000,-3856.894287109375,-3871.0
1000,1000,-3693.130615234375,-3755.0
1000,1000,-3420.575927734375,-3428.0
1000,1000,-4022.25048828125,-4022.0
1000,1000,-3862.8779296875,-3862.0
1000,1000,-3359.7119140625,-3359.0
1000,1000,-3619.776611328125,-3652.0
1000,1000,-4096.1708984375,-4089.0
1000,1000,-3618.84130859375,-3625.0
1000,1000,-3054.72509765625,-3066.0
1000,1000,-4238.49072265625,-4258.0
1000,1000,-4111.0595703125,-4125.0
1000,1000,-3783.8876953125,-3783.0
1000,1000,-3960.06982421875,-3972.0
1000,1000,-3451.39599609375,-3457.0
1000,1000,-4093.292236328125,-4094.0
1000,1000,-3518.647216796875,-3522.0
1000,1000,-3855.982421875,-3855.0
1000,1000,-4119.427734375,-4119.0
1000,1000,-3970.1865234375,-3978.0
1000,1000,-4264.2275390625,-4610.0
1000,1000,-3803.1396484375,-3840.0
1000,1000,-3257.2861328125,-3257.0
1000,1000,-3554.35302734375,-3596.0
1000,1000,-3695.7265625,-3695.0
1000,1000,-3631.965576171875,-3637.0
1000,1000,-3354.068603515625,-3378.0
1000,1000,-3868.527587890625,-3868.0
1000,1000,-3854.855224609375,-3884.0
1000,1000,-3789.503173828125,-3780.0
1000,1000,-3606.105224609375,-3606.0
1000,1000,-4006.57958984375,-4057.0
1000,1000,-3563.57421875,-3558.0
1000,1000,-3840.16796875,-3840.0
1000,1000,-3911.447265625,-3911.0
1000,1000,-3959.12646484375,-3976.0
1000,1000,-3279.525146484375,-3279.0
1000,1000,-3919.276611328125,-3947.0
1000,1000,-3166.80517578125,-3179.0
1000,1000,-4195.142578125,-4195.0
1000,1000,-3775.584228515625,-3775.0
1000,1000,-3744.21435546875,-3750.0
1000,1000,-3603.7490234375,-3645.0
1000,1000,-3970.049072265625,-3986.0
1000,1000,-3889.498291015625,-3935.0
1000,1000,-3885.44287109375,-3910.0
1000,1000,-3752.34326171875,-3749.0
1000,1000,-3843.32958984375,-3861.0
1000,1000,-3572.5302734375,-3587.0
1000,1000,-3612.87255859375,-3612.0
1000,1000,-3719.89404296875,-3719.0
1000,1000,-3839.759033203125,-3847.0
1000,1000,-3121.06884765625,-3121.0
1000,1000,-3977.834228515625,-3971.0
1000,1000,-3954.343994140625,-3966.0
1000,1000,-3253.465087890625,-3275.0
1000,1000,-3815.968505859375,-3837.0
1000,1000,-3491.64208984375,-3530.0
